head,tail,relation,note
rs2359612,"[['PRSS53', '(PA165450635)'], ['VKORC1', '(PA133787052)']]",belongs to,
rs8050894,"[['warfarin', '(PA451906)']]",decreased dose of,
rs8050894,"[['VKORC1', '(PA133787052)']]",belongs to,
rs1136201,"[['trastuzumab', '(PA451743)']]",response to,
rs1136201,"[['ERBB2', '(PA27844)']]",belongs to,
rs742105,"[['clozapine', '(PA449061)']]",increased response to,
rs742105,"[['DTNBP1', '(PA27512)']]",belongs to,
rs3800373,"[['antidepressants', '(PA452229)']]",increased response to,
rs3800373,"[['FKBP5', '(PA28162)']]",belongs to,
rs3800373,"[['antidepressants', '(PA452229)']]",increased response to,
rs3800373,"[['FKBP5', '(PA28162)']]",belongs to,
rs1360780,"[['antidepressants', '(PA452229)']]",increased response to,
rs1360780,"[['FKBP5', '(PA28162)']]",belongs to,
rs1360780,"[['antidepressants', '(PA452229)']]",increased response to,
rs1360780,"[['FKBP5', '(PA28162)']]",belongs to,
rs11572103,"[['CYP2C8', '(PA125)']]",belongs to,
rs12721627,"[['paclitaxel', '(PA450761)']]",decreased metabolism of,
rs12721627,"[['CYP3A', '(PA27114)'], ['CYP3A4', '(PA130)']]",belongs to,
rs951439,"[['quetiapine', '(PA451201)'], ['ziprasidone', '(PA451974)']]",increased response to,
rs951439,"[['RGS4', '(PA34375)']]",belongs to,
rs17244841,"[['HMGCR', '(PA189)']]",belongs to,
rs9923231,"[['VKORC1', '(PA133787052)']]",belongs to,
rs17238540,"[['HMGCR', '(PA189)']]",belongs to,
rs17238540,"[['HMGCR', '(PA189)']]",belongs to,
rs17238540,"[['HMGCR', '(PA189)']]",belongs to,
rs4149015,"[['pravastatin', '(PA451089)']]",decreased response to,
rs4149015,"[['SLCO1B1', '(PA134865839)']]",belongs to,
rs10509681,"[['rosiglitazone', '(PA451283)']]",increased metabolism of,
rs10509681,"[['CYP2C8', '(PA125)']]",belongs to,
rs10509681,"[['repaglinide', '(PA451234)']]",increased metabolism of,
rs10509681,"[['CYP2C8', '(PA125)']]",belongs to,
rs1799978,"[['risperidone', '(PA451257)']]",increased response to,
rs1799978,"[['DRD2', '(PA27478)']]",belongs to,
rs1799978,"[['risperidone', '(PA451257)']]",increased response to,
rs1799978,"[['DRD2', '(PA27478)']]",belongs to,
rs1057910,"[['warfarin', '(PA451906)']]",decreased dose of,
rs1057910,"[['CYP2C9', '(PA126)']]",belongs to,
rs1057910,"[['warfarin', '(PA451906)']]",decreased dose of,
rs1057910,"[['CYP2C9', '(PA126)']]",belongs to,
rs1057910,"[['warfarin', '(PA451906)']]",decreased dose of,
rs1057910,"[['CYP2C9', '(PA126)']]",belongs to,
rs1402467,"[['docetaxel', '(PA449383)'], ['thalidomide', '(PA451644)']]",increased response to,
rs1402467,"[['SULT1C4', '(PA162405070)']]",belongs to,
rs12418,"[['docetaxel', '(PA449383)'], ['thalidomide', '(PA451644)']]",increased response to,
rs12418,"[['CHST3', '(PA26503)']]",belongs to,
rs1801131,"[['MTHFR', '(PA245)']]",belongs to,
rs11042725,"[['paroxetine', '(PA450801)']]",decreased response to,
rs11042725,"[['ADM', '(PA24580)']]",belongs to,
rs60369023,"[['gemcitabine', '(PA449748)']]",decreased metabolism of,
rs60369023,"[['CDA', '(PA98)']]",belongs to,
rs1799889,"[['citalopram', '(PA449015)'], ['fluoxetine', '(PA449673)']]",decreased response to,
rs1799889,"[['SERPINE1', '(PA261)']]",belongs to,
rs2227631,"[['citalopram', '(PA449015)'], ['fluoxetine', '(PA449673)']]",decreased response to,
rs2227631,"[['SERPINE1', '(PA261)']]",belongs to,
rs7793837,"[['salbutamol', '(PA448068)'], ['selective', 'beta-2-adrenoreceptor', 'agonists', '(PA134687887)']]",decreased response to,
rs7793837,"[['CRHR2', '(PA26875)']]",belongs to,
rs7793837,"[['salbutamol', '(PA448068)'], ['selective', 'beta-2-adrenoreceptor', 'agonists', '(PA134687887)']]",decreased response to,
rs7793837,"[['CRHR2', '(PA26875)']]",belongs to,
rs45445694,"[['methotrexate', '(PA450428)']]",increased response to,
rs45445694,"[['C18orf56', '(PA134956204)'], ['TYMS', '(PA359)']]",belongs to,
rs5030655,"[['metoprolol', '(PA450480)']]",increased response to,
rs5030655,"[['CYP2D6', '(PA128)']]",belongs to,
rs1367117,"[['irbesartan', '(PA450084)']]",response to,
rs1367117,"[['APOB', '(PA50)']]",belongs to,
rs1367117,"[['irbesartan', '(PA450084)']]",response to,
rs1367117,"[['APOB', '(PA50)']]",belongs to,
rs9934438,"[['warfarin', '(PA451906)']]",decreased dose of,
rs9934438,"[['VKORC1', '(PA133787052)']]",belongs to,
rs9934438,"[['warfarin', '(PA451906)']]",decreased dose of,
rs9934438,"[['VKORC1', '(PA133787052)']]",belongs to,
rs2108622,"[['warfarin', '(PA451906)']]",dose of,
rs2108622,"[['CYP4F2', '(PA27121)']]",belongs to,
rs2108622,"[['warfarin', '(PA451906)']]",decreased dose of,
rs2108622,"[['CYP4F2', '(PA27121)']]",belongs to,
rs688,"[['atenolol', '(PA448499)']]",response to,
rs688,"[['LDLR', '(PA227)']]",belongs to,
rs688,"[['atenolol', '(PA448499)']]",response to,
rs688,"[['LDLR', '(PA227)']]",belongs to,
VKORC1*4,"[['warfarin', '(PA451906)']]",dose of,
VKORC1*4,"[['VKORC1', '(PA133787052)']]",belongs to,
rs61888800,"[['antidepressants', '(PA452229)'], ['desipramine', '(PA449233)'], ['fluoxetine', '(PA449673)']]",increased response to,
rs61888800,"[['BDNF', '(PA31891)']]",belongs to,
"CYP2C9*1, CYP2C9*3","[['warfarin', '(PA451906)']]",decreased dose of,
"CYP2C9*1, CYP2C9*3","[['CYP2C9', '(PA126)']]",belongs to,
rs1057910,"[['sulfonamides,', 'urea', 'derivatives', '(PA10390)']]",increased response to,
rs1057910,"[['CYP2C9', '(PA126)']]",belongs to,
rs1799853,"[['sulfonamides,', 'urea', 'derivatives', '(PA10390)']]",increased response to,
rs1799853,"[['CYP2C9', '(PA126)']]",belongs to,
rs290487,"[['repaglinide', '(PA451234)']]",increased response to,
rs290487,"[['TCF7L2', '(PA36394)']]",belongs to,
rs699664,"[['GGCX', '(PA28660)']]",belongs to,
rs9923231,"[['warfarin', '(PA451906)']]",increased dose of,
rs9923231,"[['VKORC1', '(PA133787052)']]",belongs to,
rs7769719,"[['docetaxel', '(PA449383)'], ['thalidomide', '(PA451644)']]",increased response to,
rs7769719,"[['PPARD', '(PA33557)']]",belongs to,
rs730720,"[['docetaxel', '(PA449383)'], ['thalidomide', '(PA451644)']]",increased response to,
rs730720,"[['CHST3', '(PA26503)']]",belongs to,
rs6922548,"[['docetaxel', '(PA449383)'], ['thalidomide', '(PA451644)']]",increased response to,
rs6922548,"[['PPARD', '(PA33557)']]",belongs to,
rs4148950,"[['docetaxel', '(PA449383)'], ['thalidomide', '(PA451644)']]",increased response to,
rs4148950,"[['CHST3', '(PA26503)']]",belongs to,
rs4148947,"[['docetaxel', '(PA449383)'], ['thalidomide', '(PA451644)']]",increased response to,
rs4148947,"[['CHST3', '(PA26503)']]",belongs to,
rs4148945,"[['docetaxel', '(PA449383)'], ['thalidomide', '(PA451644)']]",increased response to,
rs4148945,"[['CHST3', '(PA26503)']]",belongs to,
rs4148943,"[['docetaxel', '(PA449383)'], ['thalidomide', '(PA451644)']]",increased response to,
rs4148943,"[['CHST3', '(PA26503)']]",belongs to,
rs3734254,"[['docetaxel', '(PA449383)'], ['thalidomide', '(PA451644)']]",increased response to,
rs3734254,"[['PPARD', '(PA33557)']]",belongs to,
rs2016520,"[['docetaxel', '(PA449383)'], ['thalidomide', '(PA451644)']]",increased response to,
rs2016520,"[['PPARD', '(PA33557)']]",belongs to,
rs1883322,"[['docetaxel', '(PA449383)'], ['thalidomide', '(PA451644)']]",increased response to,
rs1883322,"[['PPARD', '(PA33557)']]",belongs to,
rs1871450,"[['docetaxel', '(PA449383)'], ['thalidomide', '(PA451644)']]",increased response to,
rs1871450,"[['CHST3', '(PA26503)']]",belongs to,
rs2108622,"[['warfarin', '(PA451906)']]",increased dose of,
rs2108622,"[['CYP4F2', '(PA27121)']]",belongs to,
rs1045642,"[['ABCB1', '(PA267)']]",belongs to,
rs1045642,"[['ABCB1', '(PA267)']]",belongs to,
rs1057910,"[['phenytoin', '(PA450947)']]",increased dose of,
rs1057910,"[['CYP2C9', '(PA126)']]",belongs to,
rs1799853,"[['CYP2C9', '(PA126)']]",belongs to,
rs1042713,"[['ADRB2', '(PA39)']]",belongs to,
rs1800888,"[['ADRB2', '(PA39)']]",belongs to,
rs1801252,"[['ADRB1', '(PA38)']]",belongs to,
rs1801253,"[['ADRB1', '(PA38)']]",belongs to,
rs1799971,"[['alfentanil', '(PA448084)']]",increased dose of,
rs1799971,"[['OPRM1', '(PA31945)']]",belongs to,
rs3745274,"[['efavirenz', '(PA449441)']]",increased clearance of,
rs3745274,"[['CYP2B6', '(PA123)']]",belongs to,
rs11264359,"[['Bisphosphonates', '(PA164712563)']]",increased response to,
rs11264359,"[['FDPS', '(PA28075)']]",belongs to,
rs2072671,"[['CDA', '(PA98)']]",belongs to,
rs113993960,"[['ivacaftor', '/', 'lumacaftor', '(PA166152935)']]",increased response to,
rs113993960,"[['CFTR', '(PA109)']]",belongs to,
rs35599367,"[['simvastatin', '(PA451363)']]",increased response to,
rs35599367,"[['CYP3A4', '(PA130)']]",belongs to,
rs951436,"[['RGS4', '(PA34375)']]",belongs to,
rs10917670,"[['risperidone', '(PA451257)']]",increased response to,
rs10917670,"[['RGS4', '(PA34375)']]",belongs to,
rs11572080,"[['repaglinide', '(PA451234)']]",increased metabolism of,
rs11572080,"[['CYP2C8', '(PA125)']]",belongs to,
rs1128503,"[['risperidone', '(PA451257)']]",increased response to,
rs1128503,"[['ABCB1', '(PA267)']]",belongs to,
rs1045642,"[['ABCB1', '(PA267)']]",belongs to,
rs1799853,"[['warfarin', '(PA451906)']]",decreased dose of,
rs1799853,"[['CYP2C9', '(PA126)']]",belongs to,
rs2273697,"[['irinotecan', '(PA450085)']]",increased metabolism of,
rs2273697,"[['ABCC2', '(PA116)']]",belongs to,
rs1801252,"[['ADRB1', '(PA38)']]",belongs to,
rs1801252,"[['ADRB1', '(PA38)']]",belongs to,
rs1801252,"[['atenolol', '(PA448499)']]",increased response to,
rs1801252,"[['ADRB1', '(PA38)']]",belongs to,
rs11188072,"[['omeprazole', '(PA450704)']]",increased metabolism of,
rs11188072,"[['CYP2C19', '(PA124)']]",belongs to,
rs11188072,"[['mephenytoin', '(PA450373)']]",increased metabolism of,
rs11188072,"[['CYP2C19', '(PA124)']]",belongs to,
rs2227983,"[['EGFR', '(PA7360)']]",belongs to,
rs1138272,"[['GSTP1', '(PA29028)']]",belongs to,
rs12208357,"[['Antiemetics', 'And', 'Antinauseants', '(PA164712431)']]",decreased response to,
rs12208357,"[['SLC22A1', '(PA329)']]",belongs to,
rs34059508,"[['Antiemetics', 'And', 'Antinauseants', '(PA164712431)']]",decreased response to,
rs34059508,"[['SLC22A1', '(PA329)']]",belongs to,
rs34130495,"[['Antiemetics', 'And', 'Antinauseants', '(PA164712431)']]",decreased response to,
rs34130495,"[['SLC22A1', '(PA329)']]",belongs to,
rs35167514,"[['Antiemetics', 'And', 'Antinauseants', '(PA164712431)']]",decreased response to,
rs35167514,"[['SLC22A1', '(PA329)']]",belongs to,
rs55918055,"[['Antiemetics', 'And', 'Antinauseants', '(PA164712431)']]",decreased response to,
rs55918055,"[['SLC22A1', '(PA329)']]",belongs to,
rs776746,"[['cyclosporine', '(PA449167)']]",decreased dose of,
rs776746,"[['CYP3A5', '(PA131)']]",belongs to,
rs6280,"[['risperidone', '(PA451257)']]",increased response to,
rs6280,"[['DRD3', '(PA27479)']]",belongs to,
rs1799971,"[['alfentanil', '(PA448084)']]",increased dose of,
rs1799971,"[['OPRM1', '(PA31945)']]",belongs to,
rs6311,"[['risperidone', '(PA451257)']]",increased response to,
rs6311,"[['HTR2A', '(PA193)']]",belongs to,
rs3813928,"[['risperidone', '(PA451257)']]",decreased response to,
rs3813928,"[['HTR2C', '(PA194)']]",belongs to,
rs12248560,"[['mephenytoin', '(PA450373)']]",increased metabolism of,
rs12248560,"[['CYP2C19', '(PA124)']]",belongs to,
rs2853539,"[['methotrexate', '(PA450428)']]",decreased response to,
rs2853539,"[['TYMS', '(PA359)']]",belongs to,
rs1544105,"[['methotrexate', '(PA450428)']]",decreased response to,
rs1544105,"[['FPGS', '(PA167)']]",belongs to,
rs1799732,"[['DRD2', '(PA27478)']]",belongs to,
rs1799732,"[['DRD2', '(PA27478)']]",belongs to,
rs1799732,"[['DRD2', '(PA27478)']]",belongs to,
rs1799732,"[['DRD2', '(PA27478)']]",belongs to,
rs10879346,"[['antidepressants', '(PA452229)']]",increased response to,
rs10879346,"[['TPH2', '(PA128747823)']]",belongs to,
rs334558,"[['citalopram', '(PA449015)'], ['fluoxetine', '(PA449673)']]",increased response to,
rs334558,"[['GSK3B', '(PA29009)']]",belongs to,
rs1057910,"[['acenocoumarol', '(PA452632)']]",response to,
rs1057910,"[['CYP2C9', '(PA126)']]",belongs to,
rs6280,"[['DRD3', '(PA27479)']]",belongs to,
rs1051740,"[['EPHX1', '(PA27829)']]",belongs to,
rs11653,"[['CALU', '(PA26047)'], ['OPN1SW', '(PA31938)']]",belongs to,
rs12714145,"[['GGCX', '(PA28660)']]",belongs to,
rs1687390,"[['ORM1', '(PA260)'], ['ORM2', '(PA32818)']]",belongs to,
rs2069919,"[['PROC', '(PA33799)']]",belongs to,
rs2234922,"[['EPHX1', '(PA27829)']]",belongs to,
rs2260863,"[['EPHX1', '(PA27829)']]",belongs to,
rs4653436,"[['EPHX1', '(PA27829)']]",belongs to,
rs216013,"[['CACNA1C', '(PA83)']]",belongs to,
"SLC6A4 HTTLPR long form (L allele), SLC6A4 HTTLPR short form (S allele)","[['fluoxetine', '(PA449673)'], ['sertraline', '(PA451333)']]",increased response to,
"SLC6A4 HTTLPR long form (L allele), SLC6A4 HTTLPR short form (S allele)","[['SLC6A4', '(PA312)']]",belongs to,
rs2032582,"[['ABCB1', '(PA267)']]",belongs to,
rs776746,"[['CYP3A', '(PA27114)'], ['CYP3A5', '(PA131)']]",belongs to,
rs429358,"[['APOC1', '(PA51)'], ['APOE', '(PA55)']]",belongs to,
rs7412,"[['APOC1', '(PA51)'], ['APOE', '(PA55)']]",belongs to,
"CYP2D6*1, CYP2D6*3, CYP2D6*9","[['venlafaxine', '(PA451866)']]",decreased dose of,
"CYP2D6*1, CYP2D6*3, CYP2D6*9","[['CYP2D6', '(PA128)']]",belongs to,
rs1045642,"[['ABCB1', '(PA267)']]",belongs to,
rs11572080,"[['CYP2C8', '(PA125)']]",belongs to,
rs1058930,"[['CYP2C8', '(PA125)']]",belongs to,
rs4713916,"[['antidepressants', '(PA452229)']]",increased response to,
rs4713916,"[['FKBP5', '(PA28162)']]",belongs to,
"CYP2D6*1, CYP2D6*17, CYP2D6*4","[['venlafaxine', '(PA451866)']]",decreased dose of,
"CYP2D6*1, CYP2D6*17, CYP2D6*4","[['CYP2D6', '(PA128)']]",belongs to,
rs2046934,"[['P2RY12', '(PA134971947)']]",belongs to,
rs72547516,"[['clozapine', '(PA449061)']]",decreased metabolism of,
rs72547516,"[['CYP1A2', '(PA27093)']]",belongs to,
rs72547517,"[['clozapine', '(PA449061)']]",decreased metabolism of,
rs72547517,"[['CYP1A2', '(PA27093)']]",belongs to,
rs2046934,"[['P2RY12', '(PA134971947)']]",belongs to,
rs2046934,"[['P2RY12', '(PA134971947)']]",belongs to,
rs2046934,"[['P2RY12', '(PA134971947)']]",belongs to,
rs2046934,"[['P2RY12', '(PA134971947)']]",belongs to,
rs6265,"[['BDNF', '(PA31891)'], ['BDNF-AS', '(PA134953249)']]",belongs to,
rs6265,"[['BDNF', '(PA31891)'], ['BDNF-AS', '(PA134953249)']]",belongs to,
rs140504,"[['lithium', '(PA450243)']]",decreased response to,
rs140504,"[['BCR', '(PA25321)']]",belongs to,
rs2284017,"[['lithium', '(PA450243)']]",increased response to,
rs2284017,"[['CACNG2', '(PA26016)']]",belongs to,
rs4680,"[['COMT', '(PA117)']]",belongs to,
rs4532,"[['lithium', '(PA450243)']]",decreased response to,
rs4532,"[['DRD1', '(PA147)']]",belongs to,
rs265981,"[['DRD1', '(PA147)']]",belongs to,
rs6275,"[['DRD2', '(PA27478)']]",belongs to,
rs1800497,"[['ANKK1', '(PA134872551)']]",belongs to,
rs6280,"[['DRD3', '(PA27479)']]",belongs to,
rs706895,"[['FYN', '(PA28454)']]",belongs to,
rs3730353,"[['FYN', '(PA28454)']]",belongs to,
rs6917661,"[['CNKSR3', '(PA134880153)']]",belongs to,
rs1019358,"[['NBAS', '(PA164723457)']]",belongs to,
rs890,"[['GRIN2B', '(PA28980)']]",belongs to,
rs334558,"[['lithium', '(PA450243)']]",increased response to,
rs334558,"[['GSK3B', '(PA29009)']]",belongs to,
rs334558,"[['GSK3B', '(PA29009)']]",belongs to,
rs3755557,"[['GSK3B', '(PA29009)']]",belongs to,
rs971363,"[['IMPA2', '(PA29861)']]",belongs to,
rs1387923,"[['lithium', '(PA450243)']]",increased response to,
rs1387923,"[['NTRK2', '(PA31818)']]",belongs to,
rs1187326,"[['NTRK2', '(PA31818)']]",belongs to,
"UGT1A1*1, UGT1A1*6","[['SN-38', '(PA165110775)']]",decreased metabolism of,
"UGT1A1*1, UGT1A1*6","[['UGT1A1', '(PA420)']]",belongs to,
rs2289656,"[['NTRK2', '(PA31818)']]",belongs to,
rs1187327,"[['NTRK2', '(PA31818)']]",belongs to,
rs2433322,"[['PDLIM5', '(PA134917248)']]",belongs to,
rs1800532,"[['lithium', '(PA450243)']]",decreased response to,
rs1800532,"[['TPH1', '(PA355)']]",belongs to,
rs1799913,"[['lithium', '(PA450243)']]",decreased response to,
rs1799913,"[['TPH1', '(PA355)']]",belongs to,
rs2433320,"[['PDLIM5', '(PA134917248)']]",belongs to,
rs2472677,"[['atazanavir', '(PA10251)']]",increased metabolism of,
rs2472677,"[['NR1I2', '(PA378)']]",belongs to,
rs1128503,"[['ABCB1', '(PA267)']]",belongs to,
rs2032582,"[['ABCB1', '(PA267)']]",belongs to,
rs1045642,"[['ABCB1', '(PA267)']]",belongs to,
rs1433099,"[['pravastatin', '(PA451089)']]",increased response to,
rs1433099,"[['LDLR', '(PA227)']]",belongs to,
rs2738466,"[['pravastatin', '(PA451089)']]",increased response to,
rs2738466,"[['LDLR', '(PA227)']]",belongs to,
