head,tail,relation
SLC22A1*3,"[['SLC22A1', '(PA329)']]",belongs to
SLC22A1*4,"[['ranitidine', '(PA451224)']]",decreased transport of
SLC22A1*4,"[['SLC22A1', '(PA329)']]",belongs to
SLC22A1*5,"[['ranitidine', '(PA451224)']]",decreased transport of
SLC22A1*5,"[['SLC22A1', '(PA329)']]",belongs to
SLC22A1*6,"[['ranitidine', '(PA451224)']]",decreased transport of
SLC22A1*6,"[['SLC22A1', '(PA329)']]",belongs to
"CYP2C19*1, CYP2C19*29","[['fluoxetine', '(PA449673)']]",decreased clearance of
"CYP2C19*1, CYP2C19*29","[['CYP2C19', '(PA124)']]",belongs to
rs1799752,"[['ACE', '(PA139)']]",belongs to
rs34902660,"[['bumetanide', '(PA448682)']]",decreased transport of
rs34902660,"[['SLC17A3', '(PA35822)']]",belongs to
"CYP2C19*1, CYP2C19*31","[['fluoxetine', '(PA449673)']]",decreased clearance of
"CYP2C19*1, CYP2C19*31","[['CYP2C19', '(PA124)']]",belongs to
"CYP2C19*1, CYP2C19*32","[['fluoxetine', '(PA449673)']]",decreased clearance of
"CYP2C19*1, CYP2C19*32","[['CYP2C19', '(PA124)']]",belongs to
rs3212986,"[['ERCC1', '(PA155)']]",belongs to
rs11568482,"[['cefotaxime', '(PA448852)']]",decreased transport of
rs11568482,"[['SLC22A8', '(PA389)']]",belongs to
rs776746,"[['CYP3A5', '(PA131)']]",belongs to
rs2072671,"[['CDA', '(PA98)']]",belongs to
rs2231137,"[['dasatinib', '(PA162372878)'], ['imatinib', '(PA10804)'], ['nilotinib', '(PA165958345)']]",increased sensitivity to
rs2231137,"[['ABCG2', '(PA390)']]",belongs to
rs2231142,"[['dasatinib', '(PA162372878)'], ['imatinib', '(PA10804)'], ['nilotinib', '(PA165958345)']]",increased sensitivity to
rs2231142,"[['ABCG2', '(PA390)']]",belongs to
rs1061018,"[['dasatinib', '(PA162372878)'], ['imatinib', '(PA10804)'], ['nilotinib', '(PA165958345)']]",increased sensitivity to
rs1061018,"[['ABCG2', '(PA390)']]",belongs to
rs41282401,"[['dasatinib', '(PA162372878)'], ['imatinib', '(PA10804)'], ['nilotinib', '(PA165958345)']]",increased sensitivity to
rs41282401,"[['ABCG2', '(PA390)']]",belongs to
rs58818712,"[['dasatinib', '(PA162372878)'], ['imatinib', '(PA10804)'], ['nilotinib', '(PA165958345)']]",increased sensitivity to
rs58818712,"[['ABCG2', '(PA390)']]",belongs to
rs45605536,"[['dasatinib', '(PA162372878)'], ['imatinib', '(PA10804)']]",increased sensitivity to
rs45605536,"[['ABCG2', '(PA390)']]",belongs to
rs3754446,"[['busulfan', '(PA448691)']]",increased clearance of
rs3754446,"[['GSTM1', '(PA182)']]",belongs to
rs8175347,"[['clozapine', '(PA449061)']]",decreased formation of
rs8175347,"[['UGT1A1', '(PA420)']]",belongs to
rs75527207,"[['ivacaftor', '(PA165950341)']]",increased activity of
rs75527207,"[['CFTR', '(PA109)']]",belongs to
rs3213619,"[['ABCB1', '(PA267)']]",belongs to
rs708272,"[['CETP', '(PA108)']]",belongs to
rs1128503,"[['ABCB1', '(PA267)']]",belongs to
"CYP2D6*1, CYP2D6*27","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*10","[['dextromethorphan', '(PA449273)']]",decreased clearance of
"CYP2D6*1, CYP2D6*10","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*2","[['dextromethorphan', '(PA449273)']]",decreased clearance of
"CYP2D6*1, CYP2D6*2","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*17","[['dextromethorphan', '(PA449273)']]",decreased clearance of
"CYP2D6*1, CYP2D6*17","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*10","[['codeine', '(PA449088)']]",decreased clearance of
"CYP2D6*1, CYP2D6*10","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*2","[['codeine', '(PA449088)']]",decreased clearance of
"CYP2D6*1, CYP2D6*2","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*17","[['codeine', '(PA449088)']]",decreased clearance of
"CYP2D6*1, CYP2D6*17","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*10","[['fluoxetine', '(PA449673)']]",decreased clearance of
"CYP2D6*1, CYP2D6*10","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*17","[['fluoxetine', '(PA449673)']]",decreased clearance of
"CYP2D6*1, CYP2D6*17","[['CYP2D6', '(PA128)']]",belongs to
rs12487736,"[['atorvastatin', '(PA448500)']]",decreased transcription of
rs12487736,"[['SCAP', '(PA162402461)']]",belongs to
rs2032582,"[['ABCB1', '(PA267)']]",belongs to
rs60369023,"[['cytarabine', '(PA449177)']]",decreased catalytic activity of
rs60369023,"[['CDA', '(PA98)']]",belongs to
rs35932500,"[['gemcitabine', '(PA449748)']]",decreased enzyme activity of
rs35932500,"[['DCTD', '(PA138)']]",belongs to
"CYP2D6*1, CYP2D6*10","[['atomoxetine', '(PA134688071)']]",decreased clearance of
"CYP2D6*1, CYP2D6*10","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*10","[['fluoxetine', '(PA449673)']]",decreased clearance of
"CYP2D6*1, CYP2D6*10","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*10","[['codeine', '(PA449088)']]",decreased clearance of
"CYP2D6*1, CYP2D6*10","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*17","[['tramadol', '(PA451735)']]",decreased clearance of
"CYP2D6*1, CYP2D6*17","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*17","[['nortriptyline', '(PA450657)']]",decreased clearance of
"CYP2D6*1, CYP2D6*17","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*24","[['codeine', '(PA449088)']]",decreased clearance of
"CYP2D6*1, CYP2D6*24","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*26","[['dextromethorphan', '(PA449273)']]",decreased clearance of
"CYP2D6*1, CYP2D6*26","[['CYP2D6', '(PA128)']]",belongs to
rs2072671,"[['gemcitabine', '(PA449748)']]",decreased enzyme activity of
rs2072671,"[['CDA', '(PA98)']]",belongs to
rs113993960,"[['lumacaftor', '(PA166114483)']]",increased transport of
rs113993960,"[['CFTR', '(PA109)']]",belongs to
LDLRL5,"[['simvastatin', '(PA451363)']]",decreased expression of
LDLRL5,"[['LDLR', '(PA227)']]",belongs to
rs1042640,"[['acetaminophen', '(PA448015)']]",decreased activity of
rs1042640,"[['UGT1A', '(PA37173)']]",belongs to
"CYP2D6*1, CYP2D6*17","[['bufuralol', '(PA166110256)'], ['codeine', '(PA449088)']]",decreased activity of
"CYP2D6*1, CYP2D6*17","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*2","[['fluoxetine', '(PA449673)']]",decreased clearance of
"CYP2D6*1, CYP2D6*2","[['CYP2D6', '(PA128)']]",belongs to
rs17822471,"[['ABCC11', '(PA24393)']]",belongs to
rs783145,"[['PLG', '(PA33405)']]",belongs to
rs11966370,"[['bumetanide', '(PA448682)']]",decreased transport of
rs11966370,"[['SLC17A3', '(PA35822)']]",belongs to
rs104894021,"[['quinidine', '(PA451209)']]",decreased inhibition of
rs104894021,"[['KCNH2', '(PA212)']]",belongs to
rs121434586,"[['IMPDH2', '(PA29863)']]",belongs to
rs3215400,"[['CDA', '(PA98)']]",belongs to
rs60282872,"[['SREBF1', '(PA335)']]",belongs to
rs113646094,"[['ABCC2', '(PA116)']]",belongs to
rs10929303,"[['acetaminophen', '(PA448015)']]",decreased activity of
rs10929303,"[['UGT1A', '(PA37173)']]",belongs to
rs12762549,"[['docetaxel', '(PA449383)']]",decreased clearance of
rs12762549,"[['ABCC2', '(PA116)']]",belongs to
CDA*2B,"[['CDA', '(PA98)']]",belongs to
rs75527207,"[['ivacaftor', '(PA165950341)']]",activity of
rs75527207,"[['CFTR', '(PA109)']]",belongs to
rs1045642,"[['digoxin', '(PA449319)']]",increased steady-state level of
rs1045642,"[['ABCB1', '(PA267)']]",belongs to
rs73748206,"[['gemcitabine', '(PA449748)']]",increased expression of
rs73748206,"[['FKBP5', '(PA28162)']]",belongs to
"CYP2D6*1, CYP2D6*10","[['bufuralol', '(PA166110256)']]",decreased clearance of
"CYP2D6*1, CYP2D6*10","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*17","[['codeine', '(PA449088)']]",decreased clearance of
"CYP2D6*1, CYP2D6*17","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*17","[['bufuralol', '(PA166110256)']]",decreased clearance of
"CYP2D6*1, CYP2D6*17","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*17","[['atomoxetine', '(PA134688071)']]",decreased clearance of
"CYP2D6*1, CYP2D6*17","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*17","[['fluoxetine', '(PA449673)']]",decreased clearance of
"CYP2D6*1, CYP2D6*17","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*10","[['nortriptyline', '(PA450657)']]",decreased clearance of
"CYP2D6*1, CYP2D6*10","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*10","[['tramadol', '(PA451735)']]",decreased clearance of
"CYP2D6*1, CYP2D6*10","[['CYP2D6', '(PA128)']]",belongs to
rs61737947,"[['dextromethorphan', '(PA449273)']]",decreased clearance of
rs1048977,"[['CDA', '(PA98)']]",belongs to
rs8330,"[['acetaminophen', '(PA448015)']]",decreased activity of
rs8330,"[['UGT1A', '(PA37173)']]",belongs to
rs1045642,"[['ABCB1', '(PA267)']]",belongs to
"CYP2D6*1, CYP2D6*24","[['dextromethorphan', '(PA449273)']]",increased clearance of
"CYP2D6*1, CYP2D6*24","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*26","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*27","[['dextromethorphan', '(PA449273)']]",decreased clearance of
"CYP2D6*1, CYP2D6*27","[['CYP2D6', '(PA128)']]",belongs to
rs9806699,"[['simvastatin', '(PA451363)']]",increased expression of
rs9806699,"[['GATM', '(PA28590)']]",belongs to
"CYP2D6*1, CYP2D6*17","[['debrisoquine', '(PA452616)']]",decreased clearance of
"CYP2D6*1, CYP2D6*17","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*17","[['dextromethorphan', '(PA449273)']]",decreased clearance of
"CYP2D6*1, CYP2D6*17","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*10","[['debrisoquine', '(PA452616)']]",decreased clearance of
"CYP2D6*1, CYP2D6*10","[['CYP2D6', '(PA128)']]",belongs to
"CYP2D6*1, CYP2D6*10","[['dextromethorphan', '(PA449273)']]",decreased clearance of
"CYP2D6*1, CYP2D6*10","[['CYP2D6', '(PA128)']]",belongs to
rs71647871,"[['methylphenidate', '(PA450464)']]",decreased catalytic activity of
rs71647871,"[['CES1', '(PA107)']]",belongs to
"NAT2*12A, NAT2*4","[['sulfamethazine', '(PA451542)']]",increased catalytic activity of
"NAT2*12A, NAT2*4","[['NAT2', '(PA18)']]",belongs to
"NAT2*13A, NAT2*4","[['sulfamethazine', '(PA451542)']]",increased catalytic activity of
"NAT2*13A, NAT2*4","[['NAT2', '(PA18)']]",belongs to
"NAT2*13A, NAT2*5A","[['sulfamethazine', '(PA451542)']]",increased catalytic activity of
"NAT2*13A, NAT2*5A","[['NAT2', '(PA18)']]",belongs to
"NAT2*12A, NAT2*5A","[['sulfamethazine', '(PA451542)']]",increased catalytic activity of
"NAT2*12A, NAT2*5A","[['NAT2', '(PA18)']]",belongs to
"NAT2*4, NAT2*6A","[['sulfamethazine', '(PA451542)']]",increased catalytic activity of
"NAT2*4, NAT2*6A","[['NAT2', '(PA18)']]",belongs to
rs717620,"[['ABCC2', '(PA116)']]",belongs to
"NAT2*4, NAT2*5A","[['sulfamethazine', '(PA451542)']]",increased catalytic activity of
"NAT2*4, NAT2*5A","[['NAT2', '(PA18)']]",belongs to
NAT2*5A,"[['sulfamethazine', '(PA451542)']]",decreased catalytic activity of
NAT2*5A,"[['NAT2', '(PA18)']]",belongs to
"NAT2*5A, NAT2*7A","[['sulfamethazine', '(PA451542)']]",decreased catalytic activity of
"NAT2*5A, NAT2*7A","[['NAT2', '(PA18)']]",belongs to
"NAT2*5A, NAT2*6A","[['sulfamethazine', '(PA451542)']]",decreased catalytic activity of
"NAT2*5A, NAT2*6A","[['NAT2', '(PA18)']]",belongs to
NAT2*6A,"[['sulfamethazine', '(PA451542)']]",decreased catalytic activity of
NAT2*6A,"[['NAT2', '(PA18)']]",belongs to
"NAT2*14A, NAT2*6A","[['sulfamethazine', '(PA451542)']]",decreased catalytic activity of
"NAT2*14A, NAT2*6A","[['NAT2', '(PA18)']]",belongs to
"NAT2*14A, NAT2*7A","[['sulfamethazine', '(PA451542)']]",decreased catalytic activity of
"NAT2*14A, NAT2*7A","[['NAT2', '(PA18)']]",belongs to
rs121434568,"[['EGFR', '(PA7360)']]",belongs to
rs1820453,"[['YAP1', '(PA38103)']]",belongs to
rs7158782,"[['estradiol', '(PA449503)']]",increased expression of
rs7158782,"[['TCL1A', '(PA36400)']]",belongs to
rs7158782,"[['estradiol', '(PA449503)']]",increased expression of
rs7158782,"[['TCL1A', '(PA36400)']]",belongs to
rs7158782,"[['estradiol', '(PA449503)']]",increased expression of
rs7158782,"[['TCL1A', '(PA36400)']]",belongs to
rs7159713,"[['estradiol', '(PA449503)']]",increased expression of
rs7159713,"[['TCL1A', '(PA36400)']]",belongs to
rs7159713,"[['estradiol', '(PA449503)']]",increased expression of
rs7159713,"[['TCL1A', '(PA36400)']]",belongs to
rs2369049,"[['estradiol', '(PA449503)']]",increased expression of
rs11849538,"[['estradiol', '(PA449503)']]",increased expression of
rs2369049,"[['estradiol', '(PA449503)']]",increased expression of
rs2369049,"[['estradiol', '(PA449503)']]",increased expression of
DPYD*8,"[['DPYD', '(PA145)']]",belongs to
CYP2B6*6,"[['efavirenz', '(PA449441)']]",increased activity of
CYP2B6*6,"[['CYP2B6', '(PA123)']]",belongs to
rs2872507,"[['ORMDL3', '(PA32821)']]",belongs to
rs430397,"[['HSPA5', '(PA29504)']]",belongs to
rs70950385,"[['CYP2B6', '(PA123)']]",belongs to
rs121908755,"[['ivacaftor', '(PA165950341)']]",increased activity of
rs121908755,"[['CFTR', '(PA109)']]",belongs to
rs532545,"[['CDA', '(PA98)']]",belongs to
rs686,"[['DRD1', '(PA147)']]",belongs to
rs28399504,"[['CYP2C19', '(PA124)']]",belongs to
rs73748206,"[['gemcitabine', '(PA449748)']]",increased expression of
rs73748206,"[['FKBP5', '(PA28162)']]",belongs to
"CYP2C19*1, CYP2C19*6","[['mephenytoin', '(PA450373)']]",decreased catalytic activity of
"CYP2C19*1, CYP2C19*6","[['CYP2C19', '(PA124)']]",belongs to
rs11045585,"[['SLCO1B3', '(PA35844)']]",belongs to
rs602950,"[['CDA', '(PA98)']]",belongs to
rs1800888,"[['salbutamol', '(PA448068)']]",decreased affinity to
rs1800888,"[['ADRB2', '(PA39)']]",belongs to
rs118192168,"[['chlorocresol', '(PA166122627)']]",increased sensitivity to
rs118192168,"[['RYR1', '(PA34896)']]",belongs to
rs202001817,"[['clopidogrel', '(PA449053)']]",decreased enzyme activity of
rs202001817,"[['CES1', '(PA107)']]",belongs to
rs202001817,"[['CES1', '(PA107)']]",belongs to
rs200707504,"[['clopidogrel', '(PA449053)'], ['enalapril', '(PA449456)'], ['sacubitril', '(PA166131580)']]",decreased enzyme activity of
rs200707504,"[['CES1', '(PA107)']]",belongs to
rs2307243,"[['enalapril', '(PA449456)']]",decreased enzyme activity of
rs2307243,"[['CES1', '(PA107)']]",belongs to
rs202121317,"[['enalapril', '(PA449456)']]",decreased enzyme activity of
rs202121317,"[['CES1', '(PA107)']]",belongs to
rs202121317,"[['CES1', '(PA107)']]",belongs to
rs397508256,"[['ivacaftor', '(PA165950341)']]",activity of
rs397508256,"[['CFTR', '(PA109)']]",belongs to
rs115545701,"[['ivacaftor', '(PA165950341)']]",activity of
rs115545701,"[['CFTR', '(PA109)']]",belongs to
rs75961395,"[['CFTR', '(PA109)']]",belongs to
rs121908751,"[['ivacaftor', '(PA165950341)']]",activity of
rs121908751,"[['CFTR', '(PA109)']]",belongs to
rs397508537,"[['ivacaftor', '(PA165950341)']]",activity of
rs397508537,"[['CFTR', '(PA109)']]",belongs to
rs77834169,"[['ivacaftor', '(PA165950341)']]",activity of
rs77834169,"[['CFTR', '(PA109)']]",belongs to
rs78655421,"[['ivacaftor', '(PA165950341)']]",activity of
rs78655421,"[['CFTR', '(PA109)']]",belongs to
rs397508759,"[['ivacaftor', '(PA165950341)']]",activity of
rs397508759,"[['CFTR', '(PA109)']]",belongs to
rs121908752,"[['ivacaftor', '(PA165950341)']]",activity of
rs121908752,"[['CFTR', '(PA109)']]",belongs to
rs121909011,"[['ivacaftor', '(PA165950341)']]",activity of
rs121909011,"[['CFTR', '(PA109)']]",belongs to
rs397508328,"[['ivacaftor', '(PA165950341)']]",activity of
rs397508328,"[['CFTR', '(PA109)']]",belongs to
rs151020603,"[['CFTR', '(PA109)']]",belongs to
rs113993960,"[['CFTR', '(PA109)']]",belongs to
rs75527207,"[['ivacaftor', '(PA165950341)']]",protein stability of
rs75527207,"[['CFTR', '(PA109)']]",belongs to
rs3802201,"[['estradiol', '(PA449503)']]",increased expression of
rs4476990,"[['estradiol', '(PA449503)']]",increased expression of
rs147255955,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs147255955,"[['CYP2C19', '(PA124)']]",belongs to
rs145328984,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs145328984,"[['CYP2C19', '(PA124)']]",belongs to
rs118203756,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs118203756,"[['CYP2C19', '(PA124)']]",belongs to
rs200346442,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs200346442,"[['CYP2C19', '(PA124)']]",belongs to
rs200150287,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs200150287,"[['CYP2C19', '(PA124)']]",belongs to
rs150152656,"[['CYP2C19', '(PA124)']]",belongs to
rs72552267,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs72552267,"[['CYP2C19', '(PA124)']]",belongs to
rs763625282,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs763625282,"[['CYP2C19', '(PA124)']]",belongs to
rs181297724,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs181297724,"[['CYP2C19', '(PA124)']]",belongs to
rs370803989,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs370803989,"[['CYP2C19', '(PA124)']]",belongs to
rs749678783,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs749678783,"[['CYP2C19', '(PA124)']]",belongs to
rs764137538,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs764137538,"[['CYP2C19', '(PA124)']]",belongs to
rs778258371,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs778258371,"[['CYP2C19', '(PA124)']]",belongs to
rs559628884,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs559628884,"[['CYP2C19', '(PA124)']]",belongs to
rs1349931378,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs1349931378,"[['CYP2C19', '(PA124)']]",belongs to
rs1267723490,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs1267723490,"[['CYP2C19', '(PA124)']]",belongs to
rs138142612,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs138142612,"[['CYP2C19', '(PA124)']]",belongs to
rs3758581,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs3758581,"[['CYP2C19', '(PA124)']]",belongs to
rs770829708,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs770829708,"[['CYP2C19', '(PA124)']]",belongs to
rs550527959,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs550527959,"[['CYP2C19', '(PA124)']]",belongs to
rs1463550071,"[['fluoxetine', '(PA449673)']]",decreased clearance of
rs1463550071,"[['CYP2C19', '(PA124)']]",belongs to
DPYD*2A,"[['DPYD', '(PA145)']]",belongs to
rs530303678,"[['CYP2D7', '(PA134926902)']]",belongs to
